BagName,Station,SkillID,SkillName,Operator,Start_Time,End_Time,Duration(s),Avg_MBps,Integrity,IsValid,Reason,Path
SKILL_012_20260206_145143,01,SKILL_012,Put pasta in jars,N_MORA,2026-02-06T14:51:43Z,2026-02-06T14:53:43Z,120.22,37.46,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_012_20260206_145143/SKILL_012_20260206_145143_0.mcap
SKILL_012_20260206_144220,01,SKILL_012,Put pasta in jars,N_MORA,2026-02-06T14:42:20Z,2026-02-06T14:47:40Z,320.23,36.83,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_012_20260206_144220/SKILL_012_20260206_144220_0.mcap
SKILL_013_20260206_141118,01,SKILL_013,Set up a hand lamp,N_MORA,2026-02-06T14:11:18Z,2026-02-06T14:13:15Z,117.14,36.94,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_013_20260206_141118/SKILL_013_20260206_141118_0.mcap
SKILL_013_20260206_141353,01,SKILL_013,Set up a hand lamp,N_MORA,2026-02-06T14:13:53Z,2026-02-06T14:16:26Z,152.80,36.82,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_013_20260206_141353/SKILL_013_20260206_141353_0.mcap
SKILL_014_20260206_100630,01,SKILL_014,Fasten nuts onto bolts,N_MORA,2026-02-06T10:06:30Z,2026-02-06T10:12:03Z,333.60,34.97,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_014_20260206_100630/SKILL_014_20260206_100630_0.mcap
SKILL_014_20260206_101326,01,SKILL_014,Fasten nuts onto bolts,N_MORA,2026-02-06T10:13:26Z,2026-02-06T10:16:27Z,181.51,37.06,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_014_20260206_101326/SKILL_014_20260206_101326_0.mcap
SKILL_014_20260206_101738,01,SKILL_014,Fasten nuts onto bolts,N_MORA,2026-02-06T10:17:38Z,2026-02-06T10:19:26Z,108.40,37.12,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_014_20260206_101738/SKILL_014_20260206_101738_0.mcap
SKILL_018_20260206_142808,01,SKILL_018,Close bags with twist ties,N_MORA,2026-02-06T14:28:08Z,2026-02-06T14:30:19Z,131.65,36.67,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_018_20260206_142808/SKILL_018_20260206_142808_0.mcap
SKILL_014_20260206_103034,01,SKILL_014,Fasten nuts onto bolts,N_MORA,2026-02-06T10:30:34Z,2026-02-06T10:35:19Z,284.70,37.03,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_014_20260206_103034/SKILL_014_20260206_103034_0.mcap
SKILL_018_20260206_143207,01,SKILL_018,Close bags with twist ties,N_MORA,2026-02-06T14:32:07Z,2026-02-06T14:34:31Z,144.80,36.82,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_018_20260206_143207/SKILL_018_20260206_143207_0.mcap
SKILL_018_20260206_143606,01,SKILL_018,Close bags with twist ties,N_MORA,2026-02-06T14:36:06Z,2026-02-06T14:37:49Z,103.04,36.84,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_018_20260206_143606/SKILL_018_20260206_143606_0.mcap
SKILL_019_20260206_135715,01,SKILL_019,Put pasta in plastic containers,N_MORA,2026-02-06T13:57:16Z,2026-02-06T13:58:57Z,100.79,37.07,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_019_20260206_135715/SKILL_019_20260206_135715_0.mcap
SKILL_019_20260206_140448,01,SKILL_019,Put pasta in plastic containers,N_MORA,2026-02-06T14:04:48Z,2026-02-06T14:07:59Z,190.81,37.12,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_019_20260206_140448/SKILL_019_20260206_140448_0.mcap
SKILL_020_20260206_143937,01,SKILL_020,Open locks with their keys,N_MORA,2026-02-06T14:39:37Z,2026-02-06T14:41:15Z,97.76,36.65,PASS,TRUE,,/mnt/data00/01/batch_01/SKILL_020_20260206_143937/SKILL_020_20260206_143937_0.mcap
SKILL_003_20260206_123717,02,SKILL_003,Organize screwdriver bits,E_MARTINEZ,2026-02-06T12:37:17Z,2026-02-06T12:41:57Z,279.93,34.29,PASS,TRUE,,/mnt/data00/02/batch_01/SKILL_003_20260206_123717/SKILL_003_20260206_123717_0.mcap
SKILL_003_20260206_124426,02,SKILL_003,Organize screwdriver bits,E_MARTINEZ,2026-02-06T12:44:26Z,2026-02-06T12:48:32Z,246.23,35.38,PASS,TRUE,,/mnt/data00/02/batch_01/SKILL_003_20260206_124426/SKILL_003_20260206_124426_0.mcap
SKILL_001_20260206_143027,02,SKILL_001,Organize beads per color,E_MARTINEZ,2026-02-06T14:30:27Z,2026-02-06T14:38:23Z,475.84,37.42,PASS,TRUE,,/mnt/data00/02/batch_01/SKILL_001_20260206_143027/SKILL_001_20260206_143027_0.mcap
SKILL_004_20260206_144051,02,SKILL_004,Set Screwdriver package,E_MARTINEZ,2026-02-06T14:40:51Z,2026-02-06T14:42:36Z,104.93,36.52,PASS,TRUE,,/mnt/data00/02/batch_01/SKILL_004_20260206_144051/SKILL_004_20260206_144051_0.mcap
SKILL_004_20260206_144936,02,SKILL_004,Set Screwdriver package,E_MARTINEZ,2026-02-06T14:49:36Z,2026-02-06T14:50:44Z,67.15,37.53,PASS,FALSE,TOO_SHORT (67.2s),/mnt/data00/02/batch_01/SKILL_004_20260206_144936/SKILL_004_20260206_144936_0.mcap
SKILL_004_20260206_145210,02,SKILL_004,Set Screwdriver package,E_MARTINEZ,2026-02-06T14:52:10Z,2026-02-06T14:53:04Z,53.95,37.57,PASS,FALSE,TOO_SHORT (54.0s),/mnt/data00/02/batch_01/SKILL_004_20260206_145210/SKILL_004_20260206_145210_0.mcap
SKILL_004_20260206_145111,02,SKILL_004,Set Screwdriver package,E_MARTINEZ,2026-02-06T14:51:11Z,2026-02-06T14:51:49Z,38.74,37.52,PASS,FALSE,TOO_SHORT (38.7s),/mnt/data00/02/batch_01/SKILL_004_20260206_145111/SKILL_004_20260206_145111_0.mcap
SKILL_005_20260206_122802,02,SKILL_005,Insert allen keys in package,E_MARTINEZ,2026-02-06T12:28:02Z,2026-02-06T12:28:14Z,11.38,36.78,PASS,FALSE,TOO_SHORT (11.4s),/mnt/data00/02/batch_01/SKILL_005_20260206_122802/SKILL_005_20260206_122802_0.mcap
SKILL_004_20260206_145314,02,SKILL_004,Set Screwdriver package,E_MARTINEZ,2026-02-06T14:53:14Z,2026-02-06T14:54:09Z,55.68,37.60,PASS,FALSE,TOO_SHORT (55.7s),/mnt/data00/02/batch_01/SKILL_004_20260206_145314/SKILL_004_20260206_145314_0.mcap
SKILL_005_20260206_123056,02,SKILL_005,Insert allen keys in package,E_MARTINEZ,2026-02-06T12:30:56Z,2026-02-06T12:35:16Z,259.20,34.40,PASS,TRUE,,/mnt/data00/02/batch_01/SKILL_005_20260206_123056/SKILL_005_20260206_123056_0.mcap
SKILL_007_20260206_140159,02,SKILL_007,Separate tongue depressors by color,E_MARTINEZ,2026-02-06T14:01:59Z,2026-02-06T14:08:58Z,418.75,37.54,PASS,TRUE,,/mnt/data00/02/batch_01/SKILL_007_20260206_140159/SKILL_007_20260206_140159_0.mcap
SKILL_009_20260206_110643,02,SKILL_009,Package Cotton set,C_BECERRA,2026-02-06T11:06:44Z,2026-02-06T11:11:15Z,271.58,34.51,PASS,TRUE,,/mnt/data00/02/batch_01/SKILL_009_20260206_110643/SKILL_009_20260206_110643_0.mcap
SKILL_009_20260206_132550,02,SKILL_009,Package Cotton set,E_MARTINEZ,2026-02-06T13:25:50Z,2026-02-06T13:28:55Z,184.87,36.94,PASS,TRUE,,/mnt/data00/02/batch_01/SKILL_009_20260206_132550/SKILL_009_20260206_132550_0.mcap
SKILL_009_20260206_133000,02,SKILL_009,Package Cotton set,E_MARTINEZ,2026-02-06T13:30:00Z,2026-02-06T13:33:22Z,201.16,36.75,PASS,TRUE,,/mnt/data00/02/batch_01/SKILL_009_20260206_133000/SKILL_009_20260206_133000_0.mcap
SKILL_012_20260206_133710,02,SKILL_012,Put pasta in jars,E_MARTINEZ,2026-02-06T13:37:11Z,2026-02-06T13:40:24Z,192.57,37.49,PASS,TRUE,,/mnt/data00/02/batch_01/SKILL_012_20260206_133710/SKILL_012_20260206_133710_0.mcap
SKILL_013_20260206_134407,02,SKILL_013,Set up a hand lamp,E_MARTINEZ,2026-02-06T13:44:08Z,2026-02-06T13:47:22Z,194.37,37.41,PASS,TRUE,,/mnt/data00/02/batch_01/SKILL_013_20260206_134407/SKILL_013_20260206_134407_0.mcap
