Start_Time,Station,Operator,BagName,Duration(s),Size(MB),IsValid,SkillCode,SkillName,FailReason
2026-01-21T12:56:26Z,02,c_becerra,SKILL_022_20260121_125626,145.70,652.24,FALSE,SKILL_022,Build Up Box (Regular ECT),MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg
2026-01-21T11:23:22Z,02,c_becerra,SKILL_020_20260121_112322,7.18,28.71,FALSE,SKILL_020,Open locks with their keys,TOO_SHORT (6.7s < 90.0s) | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw
2026-01-21T08:56:23Z,03,n_mora,SKILL_012_20260121_085623,167.83,807.42,FALSE,SKILL_012,Put pasta in jars,MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw
2026-01-21T08:52:14Z,03,n_mora,SKILL_012_20260121_085214,202.41,995.01,FALSE,SKILL_012,Put pasta in jars,MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg
2026-01-21T08:47:56Z,03,n_mora,SKILL_012_20260121_084756,211.93,1044.79,FALSE,SKILL_012,Put pasta in jars,MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw
2026-01-21T08:45:00Z,03,n_mora,SKILL_010_20260121_084500,120.40,554.06,FALSE,SKILL_010,Package earphones,MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg
2026-01-21T08:37:27Z,03,n_mora,SKILL_010_20260121_083727,400.88,1850.50,FALSE,SKILL_010,Package earphones,MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw
2026-01-21T08:29:38Z,03,n_mora,SKILL_009_20260121_082938,242.91,1080.74,FALSE,SKILL_009,Package Cotton set,MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg
2026-01-21T08:00:22Z,03,n_mora,SKILL_007_20260121_080022,1.04,3.29,FALSE,SKILL_007,Separate tongue depressors by color,TOO_SHORT (0.3s < 90.0s) | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /gripper_r/data | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /gripper_l/data | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /pika_pose_r | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /pika_pose_l
2026-01-21T08:25:06Z,03,n_mora,SKILL_009_20260121_082506,252.59,1193.65,FALSE,SKILL_009,Package Cotton set,MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_r/ffmpeg
