Start_Time,Station,Operator,BagName,Duration(s),Size(MB),IsValid,SkillCode,SkillName,FailReason
2026-02-19T23:38:05Z,01,RECOVERED_SESSION,SKILL_002_20260113_172727,20.62,94.32,FALSE,SKILL_002,Organize beads per character,TOO_SHORT (20.6s < 90.0s) | BAD_HZ /camera_r/depth/image_rect_raw (3.0/30.0) | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | BAD_HZ /camera_l/depth/image_rect_raw (3.0/30.0) | BAD_HZ /gripper_l/data (12.4/120.0) | BAD_HZ /gripper_r/data (9.9/120.0) | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /pika_pose_l | MISSING_CRIT /pika_pose_r
2026-02-20T19:40:53Z,01,,SKILL_014_20260204_093909,0.00,868.16,FALSE,,Fasten nuts onto bolts,TOO_SHORT (23.7s)
2026-02-22T04:05:25Z,04,RECOVERED_SESSION,SKILL_002_20260131_142442,12.25,328.63,FALSE,SKILL_002,Organize beads per character,TOO_SHORT (12.3s < 90.0s) | BAD_HZ /camera_r/depth/image_rect_raw (18.3/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0) | BAD_HZ /camera_l/depth/image_rect_raw (24.5/30.0) | BAD_HZ /gripper_l/data (98.4/120.0) | BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (79.7/100.0)
2026-02-20T19:59:41Z,03,RECOVERED_SESSION,SKILL_004_20260203_102938,86.12,2884.06,FALSE,SKILL_004,Set Screwdriver package,TOO_SHORT (86.1s < 90.0s) | BAD_HZ /camera_r/depth/image_rect_raw (22.5/30.0) | BAD_HZ /pika_pose_r (75.9/100.0)
2026-02-22T04:18:59Z,05,RECOVERED_SESSION,SKILL_010_20260203_140615,155.18,2814.88,FALSE,SKILL_010,Package earphones,BAD_HZ /camera_l/depth/image_rect_raw (13.8/30.0) | BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (76.1/100.0) | BAD_HZ /camera_r/depth/image_rect_raw (13.6/30.0)
2026-02-20T19:56:07Z,02,RECOVERED_SESSION,SKILL_020_20260130_134634,102.62,3770.89,FALSE,SKILL_020,Open locks with their keys,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0)
2026-02-20T20:00:03Z,03,RECOVERED_SESSION,SKILL_009_20260130_080900,268.63,9369.11,TRUE,SKILL_009,Package Cotton set,
2026-02-22T04:19:29Z,05,RECOVERED_SESSION,SKILL_013_20260204_092231,196.90,3345.96,FALSE,SKILL_013,Set up a hand lamp,BAD_HZ /camera_l/depth/image_rect_raw (11.8/30.0) | BAD_HZ /gripper_l/data (101.6/120.0) | BAD_HZ /gripper_r/data (98.3/120.0) | BAD_HZ /pika_pose_l (54.7/100.0) | BAD_HZ /camera_r/depth/image_rect_raw (13.2/30.0)
2026-02-20T19:40:52Z,01,,SKILL_013_20260203_101510,0.00,3185.22,FALSE,,Set up a hand lamp,TOO_SHORT (82.5s)
2026-02-20T19:40:52Z,01,,SKILL_013_20260203_092512,0.00,4780.33,TRUE,,Set up a hand lamp,
