BagName,Station,SkillID,SkillName,Operator,Start_Time,End_Time,Duration(s),Avg_MBps,Integrity,IsValid,Reason,Path
SKILL_001_20260207_072525,01,SKILL_001,Organize beads per color,L_AGUILERA,2026-02-07T07:25:26Z,2026-02-07T07:25:34Z,8.64,35.06,PASS,FALSE,TOO_SHORT (8.6s),/mnt/data02/01/batch_01/SKILL_001_20260207_072525/SKILL_001_20260207_072525_0.mcap
SKILL_001_20260207_085907,01,SKILL_001,Organize beads per color,L_AGUILERA,2026-02-07T08:59:08Z,2026-02-07T09:03:58Z,289.83,37.04,PASS,TRUE,,/mnt/data02/01/batch_01/SKILL_001_20260207_085907/SKILL_001_20260207_085907_0.mcap
SKILL_003_20260207_072925,01,SKILL_003,Organize screwdriver bits,L_AGUILERA,2026-02-07T07:29:26Z,2026-02-07T07:33:16Z,230.32,35.08,PASS,TRUE,,/mnt/data02/01/batch_01/SKILL_003_20260207_072925/SKILL_003_20260207_072925_0.mcap
SKILL_001_20260207_071130,01,SKILL_001,Organize beads per color,L_AGUILERA,2026-02-07T07:11:30Z,2026-02-07T07:23:57Z,746.20,33.01,PASS,TRUE,,/mnt/data02/01/batch_01/SKILL_001_20260207_071130/SKILL_001_20260207_071130_0.mcap
SKILL_003_20260207_073353,01,SKILL_003,Organize screwdriver bits,L_AGUILERA,2026-02-07T07:33:53Z,2026-02-07T07:37:59Z,245.58,34.78,PASS,TRUE,,/mnt/data02/01/batch_01/SKILL_003_20260207_073353/SKILL_003_20260207_073353_0.mcap
SKILL_004_20260207_073952,01,SKILL_004,Set Screwdriver package,L_AGUILERA,2026-02-07T07:39:52Z,2026-02-07T07:41:28Z,95.93,34.79,PASS,TRUE,,/mnt/data02/01/batch_01/SKILL_004_20260207_073952/SKILL_004_20260207_073952_0.mcap
SKILL_004_20260207_074148,01,SKILL_004,Set Screwdriver package,L_AGUILERA,2026-02-07T07:41:48Z,2026-02-07T07:43:06Z,78.01,34.43,PASS,FALSE,TOO_SHORT (78.0s),/mnt/data02/01/batch_01/SKILL_004_20260207_074148/SKILL_004_20260207_074148_0.mcap
SKILL_004_20260207_074335,01,SKILL_004,Set Screwdriver package,L_AGUILERA,2026-02-07T07:43:35Z,2026-02-07T07:44:37Z,61.21,34.46,PASS,FALSE,TOO_SHORT (61.2s),/mnt/data02/01/batch_01/SKILL_004_20260207_074335/SKILL_004_20260207_074335_0.mcap
SKILL_004_20260207_074509,01,SKILL_004,Set Screwdriver package,L_AGUILERA,2026-02-07T07:45:09Z,2026-02-07T07:46:08Z,58.54,34.57,PASS,FALSE,TOO_SHORT (58.5s),/mnt/data02/01/batch_01/SKILL_004_20260207_074509/SKILL_004_20260207_074509_0.mcap
SKILL_009_20260207_074733,01,SKILL_009,Package Cotton set,L_AGUILERA,2026-02-07T07:47:33Z,2026-02-07T07:49:56Z,143.85,34.33,PASS,TRUE,,/mnt/data02/01/batch_01/SKILL_009_20260207_074733/SKILL_009_20260207_074733_0.mcap
SKILL_009_20260207_075045,01,SKILL_009,Package Cotton set,L_AGUILERA,2026-02-07T07:50:45Z,2026-02-07T07:52:59Z,133.71,34.23,PASS,TRUE,,/mnt/data02/01/batch_01/SKILL_009_20260207_075045/SKILL_009_20260207_075045_0.mcap
SKILL_009_20260207_075323,01,SKILL_009,Package Cotton set,L_AGUILERA,2026-02-07T07:53:23Z,2026-02-07T07:56:08Z,164.94,33.97,PASS,TRUE,,/mnt/data02/01/batch_01/SKILL_009_20260207_075323/SKILL_009_20260207_075323_0.mcap
