Duration(s),StartTime,Operator,IsValid,FailReason,Station,SkillName
88.937487516,2026-01-30T10:56:16.775Z,d_vargas,False,TOO_SHORT (88.9s < 90.0s) | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg,1,Built up box (Present)
8.514747514,2026-01-30T11:00:15.968Z,d_vargas,False,TOO_SHORT (8.5s < 90.0s) | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_fisheye_l/ffmpeg,1,Put hooks on shower courtain
125.408563424,2026-01-30T11:00:28.804Z,d_vargas,True,MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_fisheye_l/ffmpeg,1,Put hooks on shower courtain
128.58222898,2026-01-30T11:03:23.786Z,d_vargas,True,MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg,1,Put hooks on shower courtain
115.73228819,2026-01-30T11:06:12.358Z,d_vargas,True,MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg | MISSING_CRIT /camera_fisheye_r/ffmpeg,1,Put hooks on shower courtain
108.910860646,2026-01-30T11:08:52.295Z,d_vargas,True,MISSING_CRIT /camera_fisheye_r/ffmpeg | MISSING_CRIT /camera_l/depth/image_rect_raw | MISSING_CRIT /camera_l/ffmpeg | MISSING_CRIT /camera_r/ffmpeg | MISSING_CRIT /camera_r/depth/image_rect_raw | MISSING_CRIT /camera_fisheye_l/ffmpeg,1,Put hooks on shower courtain
228.17357331,2026-02-02T14:06:16.932Z,d_vargas,True,BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0),2,Organize screwdriver bits
132.713823367,2026-02-02T13:38:08.556Z,d_vargas,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0) | BAD_HZ /pika_pose_r (0.0/100.0),2,Set Screwdriver package
132.679603788,2026-02-02T13:41:53.739Z,d_vargas,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0) | BAD_HZ /pika_pose_r (0.0/100.0),2,Set Screwdriver package
245.983001996,2026-02-02T13:31:12.970Z,d_vargas,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0) | BAD_HZ /pika_pose_r (0.0/100.0),2,Insert allen keys in package
163.716712796,2026-02-02T14:21:52.832Z,d_vargas,True,BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0),2,Put pasta in jars
